"","autoQC","numGenes","QC","shapiro_W_neg","shapiro_p_neg","shapiro_W_pos","shapiro_p_pos","#_neg","ratio_neg","#_0","ratio_0","#_pos","ratio_pos","95%","99%","1_SD_neg","2_SD_neg","3_SD_neg","4_SD_neg","1_SD_pos","2_SD_pos","3_SD_pos","4_SD_pos","controlGene_median_rank"
"32968282_JasonMoffat_Nature_2020_Renca-HA_CL4_B_Coculture-T_KIRC","pass",19466,1,0.482950029677049,7.09031401619894e-81,0.6295102882728,8.41775661777491e-74,9805,0.50369875680674,0,0,9661,0.49630124319326,0.099628,0.2239705,0.434501181547313,0.481043871365458,0.491266824206308,0.496558101304839,0.381177437583479,0.464142607623549,0.482174047056406,0.48828727011199,0.00357032775095038
"32968282_JasonMoffat_Nature_2020_Renca-HA_CL4_C_Coculture-T_KIRC","pass",19464,1,0.489928279955881,1.39813481177299e-80,0.626295206789547,5.57166861401794e-74,9871,0.507141389231402,0,0,9593,0.492858610768598,0.0982757500000002,0.223582999999999,0.421650226058364,0.482583230579531,0.494502671598849,0.499126592683929,0.366060419235512,0.459566378956021,0.477702424989725,0.484278668310728,0.00346794081381011
"33271120_JonathanWYewdell_Immunity_2021_BJAB_MHCI_r1_Sorting_DLBCL","pass",19362,1,0.764453399625849,1.01749367596985e-64,0.828658963996718,1.05627555827663e-58,10330,0.533519264538787,0,0,9032,0.466480735461213,4.12216,7.012139,0.37991942981097,0.466893915917777,0.508263609131288,0.5234996384671,0.301053610164239,0.397686189443239,0.440811899597149,0.458165478772854,0.000464828013634955
"33271120_JonathanWYewdell_Immunity_2021_BJAB_MHCI_r2_Sorting_DLBCL","pass",19362,1,0.748944594629714,5.83219867351079e-66,0.818094260686131,8.23631089945267e-60,10148,0.524119409151947,0,0,9214,0.475880590848053,3.804325,6.498792,0.365974589401921,0.4680818097304,0.501032951141411,0.514771201322177,0.311538064249561,0.405123437661399,0.450366697655201,0.46622249767586,0.000309885342423303
"33271120_JonathanWYewdell_Immunity_2021_HBL1_MHCI_r1_Sorting_DLBCL","pass",19362,1,0.759887646107648,4.31477864330837e-65,0.857359188748867,2.25121106699526e-55,10063,0.51972936680095,0,0,9299,0.48027063319905,4.11326,6.491929,0.355438487759529,0.461057741968805,0.494318768722239,0.509658093172193,0.295682264228902,0.39964879661192,0.452432599938023,0.472575147195538,0.00087800847019936
"33271120_JonathanWYewdell_Immunity_2021_HBL1_MHCI_r2_Sorting_DLBCL","pass",19362,1,0.753734930633731,1.38759348593068e-65,0.865171038176686,2.26444640655804e-54,9933,0.513015184381779,0,0,9429,0.486984815618221,4.27599,6.848218,0.355335192645388,0.458320421444066,0.489463898357608,0.503666976552009,0.291188926763764,0.402747650036153,0.458836897014771,0.479237682057639,0.000413180456564405
"33271120_JonathanWYewdell_Immunity_2021_SUDHL5_MHCI_r1_Sorting_DLBCL","pass",19362,1,0.758744322102564,3.4881971800318e-65,0.940903705275594,9.02391011991427e-41,11114,0.574010949282099,0,0,8248,0.425989050717901,6.313195,8.009,0.399442206383638,0.498760458630307,0.544468546637744,0.562545191612437,0.165427125296973,0.332816857762628,0.385342423303378,0.423819853320938,0.000568123127776056
"33271120_JonathanWYewdell_Immunity_2021_SUDHL5_MHCI_r2_Sorting_DLBCL","pass",19362,1,0.789719838564519,1.53866324795046e-62,0.842359765740547,3.54317425248229e-57,10383,0.536256585063526,0,0,8979,0.463743414936474,4.37772,7.320156,0.376872223943807,0.464414833178391,0.511000929656027,0.526082016320628,0.290001032951141,0.390713769238715,0.437093275488069,0.455221568019833,0.000361532899493854
"33271120_JonathanWYewdell_Immunity_2021_TMD8_MHCI_r1_Sorting_DLBCL","pass",19362,1,0.821385859356726,1.79901965603213e-59,0.885331627780965,1.53204573983684e-51,9542,0.492820989567193,0,0,9820,0.507179010432807,3.940735,5.898614,0.315256688358641,0.425007747133561,0.464931308749096,0.483679371965706,0.284113211445099,0.412509038322487,0.474382811693007,0.499948352442929,0.00100712736287574
"33271120_JonathanWYewdell_Immunity_2021_TMD8_MHCI_r2_Sorting_DLBCL","pass",19362,1,0.829725407500059,1.3765352717667e-58,0.858200012537852,2.87141717700784e-55,9338,0.482284887924801,0,0,10024,0.517715112075199,3.114475,4.999034,0.286798884412767,0.41560789174672,0.456151224047103,0.472213614296044,0.308232620597046,0.433323003821919,0.488689185001549,0.507592190889371,0.00043900423509968
"33497609_RobertTManguso_Immunity_2021_Renca_aPD1+aCTLA4_Invivo_KIRC","pass",2616,1,0.588793207932717,3.22062506663947e-47,0.909218190096851,7.88894778344846e-28,1245,0.475917431192661,0,0,1371,0.524082568807339,0.09062825,0.134913,0.396788990825688,0.439220183486239,0.45565749235474,0.464067278287462,0.242354740061162,0.419724770642202,0.490061162079511,0.514525993883792,0.011085626911315
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M1.negScreen.MHCI.high_Sorting_SKCM","fail",18739,1,0,1,0.939542976459373,8.07099306560198e-27,16889,0.901275414910081,0,0,1850,0.0987245850899194,0.753279000000003,1.63277399999999,0.255403169859651,0.518597577245317,0.781418432146859,0.901275414910081,0.0367148727253322,0.0736965686536101,0.0909333475639042,0.0970169165910668,0.00581674582421687
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M1.negScreen.MHCI.high+PDL1.high_Sorting_SKCM","fail",18739,1,0,1,0.920919986252666,2.73062029533974e-31,16721,0.892310155291104,0,0,2018,0.107689844708896,0.795963000000001,1.711918,0.252468114627248,0.513527936389348,0.773573829980255,0.892310155291104,0.0451998505790063,0.08244836971023,0.100912535354074,0.106088905491222,0.00149420993649608
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M1.negScreen.PDL1.high_Sorting_SKCM","pass",18739,1,0,1,0.922864022013902,6.08345673180917e-45,9491,0.506483803831581,0,0,9248,0.493516196168419,1.08646,1.58463199999999,0.143390789263034,0.292278136506751,0.438870804205134,0.506483803831581,0.217781098244303,0.383104754789476,0.460483483643738,0.484284113346497,0.00565665190244944
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M1.posScreen.MHCI.low_Sorting_SKCM","fail",18739,1,0,1,0.954931428831661,9.59094929216197e-37,246,0.0131277015849298,0,0,18493,0.98687229841507,0.0473941535374615,0.049483223303454,0.00394898340359678,0.0085383424942633,0.0121137734137361,0.0128608783819841,0.279417258124767,0.567052670900261,0.855328459362826,0.98687229841507,0.0018677624206201
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M1.posScreen.MHCI.low+PDL1.low_Sorting_SKCM","fail",18739,1,0,1,0.954375651127421,6.37470137268316e-37,675,0.0360211323976733,0,0,18064,0.963978867602327,0.0473338872927707,0.049479558179155,0.0167564971449917,0.0302043865734564,0.0341000053364641,0.0354341213511927,0.27231976092641,0.553604781471797,0.835370083782486,0.963978867602327,0.00389561876300763
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M1.posScreen.PDL1.low_Sorting_SKCM","fail",18739,1,0,1,0.954893737879976,9.32773131877699e-37,818,0.0436522760019211,0,0,17921,0.956347723998079,0.0473057938867714,0.049479558179155,0.018677624206201,0.033352900368216,0.041037408613053,0.0431719942366188,0.269758258178131,0.549175516302898,0.828646139068253,0.956347723998079,0.0011740220929612
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M2.negScreen.MHCI.high_Sorting_SKCM","fail",18737,1,0,1,0.957518631470614,2.31539076244541e-15,17849,0.952607140951059,0,0,888,0.0473928590489406,-0.000120751755312085,1.712232,0.268719645620964,0.546779100176122,0.825372258098949,0.952607140951059,0.0163846933874153,0.0335165714895661,0.0429631210972941,0.0467524150077387,0.0044831082884133
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M2.negScreen.MHCI.high+PDL1.high_Sorting_SKCM","fail",18737,1,0,1,0.923574288330869,7.91483838465278e-24,17575,0.937983668676949,0,0,1162,0.0620163313230506,0.332496,1.558492,0.26525057373112,0.5394139937023,0.812883599295512,0.937983668676949,0.0255643913113092,0.0465389336606714,0.0575865933714042,0.0612157762715483,0.0017078507765384
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M2.negScreen.PDL1.high_Sorting_SKCM","pass",18737,1,0,1,0.956813573542093,3.94306800261335e-36,9723,0.518919784383839,0,0,9014,0.481080215616161,1.67544,2.319476,0.146501574424935,0.299354218925121,0.449538346586967,0.518919784383839,0.166782302396328,0.336926936008966,0.440305278326306,0.471953888029033,0.00160111010300475
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M2.posScreen.MHCI.low_Sorting_SKCM","fail",18737,1,0,1,0.954158412023445,5.43982367689547e-37,422,0.0225222821156001,0,0,18315,0.9774777178844,0.0473773559043184,0.0494832478947938,0.00752521748412232,0.015850990019747,0.021027912686129,0.0220953194214655,0.276671825799221,0.561509313123766,0.847254096173347,0.9774777178844,0.101136788173133
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M2.posScreen.MHCI.low+PDL1.low_Sorting_SKCM","fail",18737,1,0,1,0.954860086067752,9.0989731743947e-37,2360,0.125953994769707,0,0,16377,0.874046005230293,0.0470434116735123,0.0494119644765742,0.0608421839141805,0.104819341410044,0.120296739072424,0.124246143993169,0.248225436302503,0.503549127394994,0.758232374446283,0.874046005230293,0.0006404440412019
"33589424_XShirleyLiu_CancerDiscov_2021_B16F10_M2.posScreen.PDL1.low_Sorting_SKCM","fail",18737,1,0,1,0.955131726628735,1.11229997973965e-36,1320,0.070448844532209,0,0,17417,0.929551155467791,0.047201181310229,0.0494610562846065,0.0281795378128836,0.0538506697977264,0.065858995570262,0.0691679564498052,0.263222500933981,0.534930885413887,0.805625233495223,0.929551155467791,0.000933980893419437
"TBD_XShirleyLiu_TBD_2021_B16F10_M1.negScreen.MHCII.high_Sorting_SKCM","pass",18739,1,0,1,0.92598115631502,2.77873410051621e-44,9403,0.501787715459736,0,0,9336,0.498212284540264,0.952558000000001,1.34271,0.142270131810662,0.289930092320828,0.434921820801537,0.501787715459736,0.213885479481296,0.380596616681787,0.463845456000854,0.490687870217194,0.198303004429265
"TBD_XShirleyLiu_TBD_2021_B16F10_M1.negScreen.MHCII.high+PDL1.high_Sorting_SKCM","fail",18739,1,0,1,0.925991863625454,2.75645520666511e-30,16744,0.893537542024655,0,0,1995,0.106462457975346,0.795725000000003,1.72351,0.253055125673729,0.514328405998186,0.774587758151449,0.893537542024655,0.046533966593735,0.0823416404290517,0.0995250546987566,0.104541330914136,0.382517743742996
"TBD_XShirleyLiu_TBD_2021_B16F10_M1.negScreen.PDL1.high_Sorting_SKCM","pass",18739,1,0,1,0.895668818266384,6.31169698904794e-50,9509,0.507444367362186,0,0,9230,0.492555632637814,1.16035,1.721658,0.143764341747158,0.292865147553231,0.439831367735738,0.507444367362186,0.220876247398474,0.387587384598965,0.461337317893164,0.484444207268264,0.289236351993169
"TBD_XShirleyLiu_TBD_2021_B16F10_M1.posScreen.MHCII.low_Sorting_SKCM","pass",18739,1,0,1,0.95479917146135,8.6993875344494e-37,9322,0.497465179572016,0,0,9417,0.502534820427984,0.0445727223402355,0.0488838544709142,0.221569987726133,0.387000373552484,0.463685362079086,0.489247024921287,0.142376861091841,0.290143550883185,0.435562196488607,0.502534820427984,0.0747104968248039
"TBD_XShirleyLiu_TBD_2021_B16F10_M1.posScreen.MHCII.low+PDL1.low_Sorting_SKCM","fail",18739,1,0,1,0.955439749521016,1.39843905958246e-36,56,0.00298841987299216,0,0,18683,0.997011580127008,0.0474246936454438,0.049484657139983,0.000587011046480602,0.00213458562356583,0.00288169059181386,0.00288169059181386,0.282512407278937,0.57340306313037,0.86445381290357,0.997011580127008,0.000800469608837184
"TBD_XShirleyLiu_TBD_2021_B16F10_M1.posScreen.PDL1.low_Sorting_SKCM","pass",18739,1,0,1,0.954133461905864,5.34184257851806e-37,9209,0.491434975185442,0,0,9530,0.508565024814558,0.0446213304146659,0.0488862424716353,0.199637120443994,0.374352953732857,0.458295533379583,0.482523080207055,0.143924435668926,0.293398793959123,0.440845295906932,0.508565024814558,0.0773787288542612
"TBD_XShirleyLiu_TBD_2021_B16F10_M2.negScreen.MHCII.high_Sorting_SKCM","pass",18737,1,0,1,0.915065505012672,1.67565916577049e-46,9398,0.501574424934621,0,0,9339,0.498425575065379,0.660886,0.973210799999999,0.142231947483589,0.289854298980627,0.434808133639323,0.501574424934621,0.225970005870737,0.391418049847895,0.46613652132145,0.490206543203288,0.058867481453808
"TBD_XShirleyLiu_TBD_2021_B16F10_M2.negScreen.MHCII.high+PDL1.high_Sorting_SKCM","fail",18737,1,0,1,0.988429752879075,7.84999644183314e-20,9982,0.532742701606447,0,0,8755,0.467257298393553,2.99142,3.660536,0.150344238672146,0.306932806746011,0.461226450338902,0.532742701606447,0.0964935688744196,0.246677696536265,0.398089341943748,0.459145007204995,0.372524950632439
"TBD_XShirleyLiu_TBD_2021_B16F10_M2.negScreen.PDL1.high_Sorting_SKCM","pass",18737,1,0,1,0.943745750373303,5.05794845889677e-40,9781,0.522015263916315,0,0,8956,0.477984736083685,1.4618,2.0558,0.147462240486737,0.300848588354592,0.452046752415008,0.522015263916315,0.182206329721941,0.349842557506538,0.442653573144047,0.469979185568661,0.176122111330522
"TBD_XShirleyLiu_TBD_2021_B16F10_M2.posScreen.MHCII.low_Sorting_SKCM","pass",18738,1,0,1,0.954618869895128,7.61871377004883e-37,9282,0.495357028498239,0,0,9456,0.504642971501761,0.0445914476818871,0.0488839087676024,0.24581065215071,0.404792400469634,0.467712669441776,0.48735190521934,0.142758031807023,0.291173017397801,0.437293200981962,0.504642971501761,0.224943964137048
"TBD_XShirleyLiu_TBD_2021_B16F10_M2.posScreen.MHCII.low+PDL1.low_Sorting_SKCM","fail",18737,1,0,1,0.955625322543597,1.60622095273437e-36,63,0.00336233121630997,0,0,18674,0.99663766878369,0.0474246966210194,0.0494846883206628,0.0010674067353365,0.00197470246037252,0.00304210919570902,0.00330896087954315,0.282329081496504,0.573090676202167,0.86417249292843,0.99663766878369,0.303356994182633
"TBD_XShirleyLiu_TBD_2021_B16F10_M2.posScreen.PDL1.low_Sorting_SKCM","fail",18737,1,0,1,0.955795173431906,1.82408595861818e-36,21,0.00112077707210332,0,0,18716,0.998879222927897,0.0474286310072057,0.0494846883206628,0.00032022202060095,0.000587073704435075,0.00096066606180285,0.00112077707210332,0.28323637722154,0.574691786305172,0.86620056572557,0.998879222927897,0.0006404440412019
